algorithm,solver,time
elo,arena,30.15029886297998
elo,arena,25.39872083501541
elo,arena,24.589158587012207
elo,arena,24.170159269997384
elo,arena,24.899965363991214
elo,arena,25.738951277016895
elo,arena,28.97292670601746
elo,arena,27.36939931899542
elo,arena,24.725671719003003
elo,arena,25.580604129994754
bradley_terry,fast arena,33.75526388498838
bradley_terry,fast arena,33.46348816197133
bradley_terry,fast arena,33.54745766497217
bradley_terry,fast arena,37.8117168849858
bradley_terry,fast arena,37.667250749014784
bradley_terry,fast arena,33.373406972008524
bradley_terry,fast arena,33.44866595900385
bradley_terry,fast arena,35.148023160989396
bradley_terry,fast arena,37.95396917598555
bradley_terry,fast arena,33.21171013699495
bootstrap bradley_terry,fast arena,4.754722614015918
bootstrap bradley_terry,fast arena,5.5670936290116515
bootstrap bradley_terry,fast arena,6.008427110995399
bootstrap bradley_terry,fast arena,5.481066513020778
bootstrap bradley_terry,fast arena,5.5037988429830875
bootstrap bradley_terry,fast arena,5.512211408000439
bootstrap bradley_terry,fast arena,5.509957628994016
bootstrap bradley_terry,fast arena,5.397046511003282
bootstrap bradley_terry,fast arena,5.526317595998989
bootstrap bradley_terry,fast arena,5.432078957994236
elo,evalica,11.517615744989598
elo,evalica,11.694456280994928
elo,evalica,12.527367801987566
elo,evalica,11.88975958598894
elo,evalica,12.068516739993356
elo,evalica,12.303119572985452
elo,evalica,11.69420915399678
elo,evalica,11.262021876988001
elo,evalica,12.297115194989601
elo,evalica,11.42049525101902
bradley_terry,evalica,9.575335147994338
bradley_terry,evalica,9.389500129997032
bradley_terry,evalica,9.412118341977475
bradley_terry,evalica,9.408372331992723
bradley_terry,evalica,9.809400755999377
bradley_terry,evalica,9.821761255007004
bradley_terry,evalica,9.956590738991508
bradley_terry,evalica,9.533107825991465
bradley_terry,evalica,9.627520822017686
bradley_terry,evalica,9.481381065997994
